phrase,word,start,end
1,This,21.192,21.473
1,is,21.553,21.613
1,Los,21.713,21.974
1,"Angeles,",22.114,22.655
1,and,22.875,22.976
1,it's,23.016,23.136
1,the,23.176,23.256
1,height,23.316,23.557
1,of,23.617,23.657
1,summer.,23.757,24.098
2,In,24.138,24.659
2,a,24.699,24.759
2,small,24.819,25.16
2,bungalow,25.24,25.741
2,off,25.901,26.042
2,La,26.102,26.302
2,"Cienega,",26.322,26.964
2,Clara,27.304,27.705
2,serves,27.745,28.086
2,homemade,28.126,28.567
2,chili,28.647,29.008
2,and,29.028,29.108
2,chips,29.168,29.509
2,in,29.589,29.669
2,red,29.729,29.889
2,plastic,29.929,30.39
2,"bowls,",30.451,30.891
2,wine,31.372,31.733
2,in,31.773,31.853
2,blue,31.893,32.074
2,plastic.,32.114,32.755
3,The,33.196,33.276
3,colors,33.316,33.677
3,don't,33.737,33.917
3,"match,",33.978,34.258
3,and,34.298,34.358
3,the,34.398,34.459
3,cups,34.499,34.759
3,are,34.799,34.879
3,too,34.919,35.08
3,big,35.12,35.32
3,to,35.36,35.441
3,serve,35.501,35.761
3,wine.,35.841,36.703
4,You,36.683,36.883
4,didn't,36.903,37.084
4,get,37.144,37.304
4,half,37.324,37.545
4,the,37.565,37.625
4,things,37.685,37.905
4,on,37.985,38.046
4,my,38.086,38.186
4,"list,",38.266,38.547
4,she,38.647,38.767
4,hisses,38.807,39.108
4,at,39.188,39.228
4,Gary,39.268,39.629
4,as,39.689,39.749
4,he,39.789,39.849
4,passes.,39.909,40.37
5,He,40.931,41.031
5,shrugs.,41.111,41.552
6,No,42.113,42.213
6,one,42.294,42.374
6,seems,42.434,42.674
6,to,42.754,42.835
6,mind,42.895,43.155
6,but,43.215,43.336
6,her.,43.396,43.596
7,Did,44.277,44.398
7,you,44.418,44.538
7,have,44.578,44.678
7,to,44.718,44.778
7,buy,44.838,44.999
7,a,45.059,45.079
7,$400,45.099,45.54
7,bottle,45.92,46.161
7,of,46.201,46.241
7,scotch?,46.341,46.822
8,Gary,47.263,47.604
8,waves,47.664,47.944
8,away,48.004,48.225
8,her,48.305,48.425
8,upset.,48.545,48.946
9,He,49.327,49.427
9,seems,49.487,49.768
9,"distracted,",49.848,50.629
9,guilty,51.01,51.371
9,of,51.431,51.471
9,something.,51.551,52.032
10,She,52.493,52.613
10,can,52.653,52.773
10,tell,52.813,52.994
10,by,53.054,53.154
10,the,53.194,53.254
10,way,53.314,53.455
10,he,53.515,53.595
10,avoids,53.655,54.036
10,her.,54.116,54.777
11,Clara,54.757,55.278
11,looks,55.318,55.518
11,at,55.578,55.618
11,her,55.658,55.758
11,face,55.818,56.159
11,in,56.259,56.319
11,the,56.359,56.419
11,hallway,56.459,56.84
11,mirror.,56.9,57.22
12,She's,57.541,57.721
12,33,57.741,58.001
12,years,58.262,58.442
12,old.,58.642,58.842
13,She's,59.143,59.323
13,slowly,59.343,59.703
13,getting,59.764,60.004
13,white,60.064,60.284
13,hairs,60.344,60.725
13,in,60.825,60.905
13,her,60.945,61.045
13,eyebrows.,61.205,61.786
14,She,62.307,62.447
14,feels,62.527,62.928
14,completely,63.088,63.709
14,alone.,63.749,64.309
15,Grad,65.11,65.351
15,students,65.371,65.731
15,fill,65.791,65.952
15,the,65.972,66.052
15,low,66.092,66.272
15,ceiling,66.312,66.653
15,"space,",66.733,67.153
15,chewing,67.293,67.634
15,big,67.714,67.894
15,words,67.954,68.335
15,and,68.415,68.475
15,gesticulating,68.515,69.316
15,emphatically.,69.376,70.077
16,Gary's,70.457,70.798
16,face,70.878,71.218
16,looks,71.279,71.479
16,up,71.539,71.599
16,from,71.639,71.739
16,the,71.779,71.839
16,photo,71.919,72.24
16,his,72.3,72.42
16,parents,72.5,72.841
16,have,72.901,73.001
16,framed,73.061,73.381
16,in,73.461,73.521
16,expensive,73.602,74.222
16,mahogany.,74.282,74.883
17,"Elated,",74.923,75.945
17,"graduating,",76.085,76.766
17,cap,76.866,77.106
17,and,77.126,77.226
17,gown,77.246,77.507
17,and,77.567,77.627
17,all.,77.807,77.947
18,Toast,78.268,78.668
18,and,78.788,78.868
18,more,78.888,79.129
18,toast.,79.209,79.69
19,To,80.13,80.23
19,our,80.29,80.35
19,doctor,80.39,80.711
19,of,80.771,80.831
19,"philosophy,",80.871,81.612
19,amazing,81.632,82.153
19,art,82.253,82.393
19,"prodigy,",82.453,83.054
19,to,83.134,83.254
19,Gary,83.294,83.675
19,Loewesen.,83.755,84.696
20,Clara's,84.676,85.639
20,carefully,85.779,86.241
20,picked,86.321,86.602
20,happy,86.782,87.063
20,graduation,87.103,87.825
20,paper,87.905,88.226
20,banners,88.266,88.728
20,hang,88.768,89.41
20,too,89.45,89.57
20,low,89.61,89.831
20,from,89.891,90.032
20,the,90.072,90.172
20,adobe,90.212,90.653
20,doors.,90.694,91.155
21,People,91.636,91.937
21,have,91.997,92.138
21,to,92.178,92.258
21,duck,92.338,92.619
21,when,92.719,92.82
21,they,92.86,92.96
21,go,93.0,93.121
21,in,93.181,93.241
21,the,93.261,93.341
21,kitchen.,93.381,93.943
22,74th,100.741,101.623
22,and,101.683,101.743
22,"Columbus,",101.784,102.345
22,apartment,102.586,103.047
22,9D.,103.067,103.789
23,Stephen,104.51,104.871
23,Perdue,104.911,105.312
23,watches,105.372,105.753
23,his,105.793,105.914
23,wife,105.994,106.255
